E_PIZZA_ORDER_KEY,E_PIZZA_ID,E_ORDER_ID,ORDER_SIZE,SAUCE,CHEESE,MEAT,VEGGIES,BAKED,STARTTIMESTAMP,ENDTIMESTAMP,LATENCYMS
17_050b3fde-8b14-4304-9852-4553eb02f161,17,050b3fde-8b14-4304-9852-4553eb02f161,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172979107,1764173062241,83134
17_067646a4-55fb-4794-a053-f0b8058b5d4b,17,067646a4-55fb-4794-a053-f0b8058b5d4b,50,tomato,['mozzarella'],[],['basil'],True,1764172612398,1764172628403,16005
17_1c15c39d-92af-4ded-80f9-83ab37feb1d5,17,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764176715177,1764176757226,42049
17_367a96cd-8c2e-4297-a96c-8e35a863c6bc,17,367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764174140270,1764174158242,17972
17_482f7ff0-faed-45c3-90a7-7fb2fd0be63b,17,482f7ff0-faed-45c3-90a7-7fb2fd0be63b,50,tomato,['mozzarella'],[],['basil'],True,1764173474571,1764173513989,39418
17_66c49367-be59-420c-9602-7763eee79cfa,17,66c49367-be59-420c-9602-7763eee79cfa,50,tomato,['mozzarella'],[],['basil'],True,1764171304180,1764171321984,17804
17_7075519a-7d8c-49b4-9f8c-fa9b83857e42,17,7075519a-7d8c-49b4-9f8c-fa9b83857e42,50,tomato,['mozzarella'],['pepperoni'],[],True,1764172132055,1764172148915,16860
17_9563c743-f1f0-4eb8-a12d-256f529be4b2,17,9563c743-f1f0-4eb8-a12d-256f529be4b2,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764171146889,1764171165796,18907
17_9caddd73-34e8-406b-b20b-2ab365bdfc6e,17,9caddd73-34e8-406b-b20b-2ab365bdfc6e,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764171639062,1764171657030,17968
17_9dab3fa1-9659-4c1a-8667-62546b58f72f,17,9dab3fa1-9659-4c1a-8667-62546b58f72f,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764173175666,1764173193391,17725
